Species,Taxa2,Taxa,Class,Order,Family,Genus,Commercial,Origin,Online link,Habitat
Equulites klunzingeri,Fish,Osteichthyes,Actinopterygii,Perciformes,Leiognathidae,Equulites,N,I,,Pelagic fish
Equulites popei,Fish,Osteichthyes,Actinopterygii,Perciformes,Leiognathidae,Equulites,N,I,https://www.fishbase.se/summary/Equulites-elongatus,Pelagic fish
Etrumeus golanii,Fish,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae,Etrumeus,Y,I,,Pelagic fish
Fistularia commersonii,Fish,Osteichthyes,Actinopterygii,Syngnathiformes,Fistulariidae,Fistularia,Y,I,https://www.fishbase.se/summary/Fistularia-commersonii.html,Demersal fish
Fistularia petimba,Fish,Osteichthyes,Actinopterygii,Syngnathiformes,Fistulariidae,Fistularia,N,I,,Demersal fish
Gobius niger,Fish,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Gobius,N,N,,Demersal fish
Herklotsichthys punctatus,Fish,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae,Herklotsichthys,N,I,,Pelagic fish
Hippocampus sp.,Fish,Osteichthyes,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,N,N,,Demersal fish
Hyporthodus haifensis,Fish,Osteichthyes,Actinopterygii,Perciformes,Serranidae,Hyporhodus,Y,N,,Demersal fish
Jaydia smithi,Fish,Osteichthyes,Actinopterygii,Kurtiformes,Apogonidae,Jaydia,N,I,,Demersal fish
Lagocephalus guentheri,Fish,Osteichthyes,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,N,I,,Demersal fish
Lagocephalus sceleratus,Fish,Osteichthyes,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,N,I,,Demersal fish
Lagocephalus suezensis,Fish,Osteichthyes,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus,N,I,,Demersal fish
